Biak,English Translation
eseɾ,1_one
suɾu,2_two
kjoɾ,3_three
fjak,4_four
ɾim,5_five
women,6_six
fik,7_seven
waɾ,8_eight
siw,9_nine
samfuɾ,10_ten
samfuɾdisuɾu,11_twenty
samfuɾdiɾim,12_fifty
utineseɾ,13_onehundred
siaɾaneseɾ,14_onethousand
waɾaku,16_right
waɾasaɾe,17_left
aja,18_i
mɡɡo,19_weallexcl
kuine,20_webothincl
muine,21_webothexcl
iNɡo,22_weallincl
au,23_thou
mu,24_youboth
mɡɡo,25_youall
snondiɾja,26_heshe
sko,27_theyall
ɾosuja,28_theyboth
isjaba,29_nonot
ɾosai,30_what
inse,31_who
ɾodio,32_where
ɾasaiɾi,33_when
ɾaɾjo,34_how
ine,35_this
iwa,36_that
ma,37_and
ɾobo,38_above
ɾosop,39_below
ɾobandum,40_ininside
ɾo,41_at
faɾo,42_if
bukoɾ,43_head
snonboɾame,44_hair
meɡɡamoɾ,45_eye
snonikoɾ,46_nose
knaɾam,47_ear
sowadon,48_mouth
ɾamaɾ,49_tongue
nakoɾe,50_tooth
bɾamin,51_hand
eɾda,52_shoulder
sasukoɾ,53_neck
dokoɾ,54_back
wemin,55_leg
ɾik,56_blood
koɾe,57_bone
kef,58_skin
snewaɾ,59_belly
snekaw,60_intestines
sus,61_breast
snewaɾmuk,62_liver
ɾofan,63_dog
man,64_bird
ine,65_fish
ikak,66_snake
aɾsjweɾ,67_worm
huk,68_louse
kapai,69_rat
aɾsuwaɾe,70_spider
ɾobejaɾek,71_mosquito
pnoɾ,72_egg
puɾai,73_tail
pɾeɾ,74_wing
buɾ,75_feather
snonɡaku,76_person
snon,77_man
bin,78_woman
ɾomawa,79_child
snon,80_name
sna,81_mother
kma,82_father
swa,83_husband
meseɾ,85_day
ɾob,86_night
paik,87_moon
mak,88_star
mandep,89_sky
waɾ,90_water
waɾbekɾai,91_lake
bonda,92_sea
foɾ,93_fire
pau,94_smoke
ɾoɾef,95_ash
kaɾui,96_stone
sapɾob,97_earthsoil
fafen,98_dust
kaɾijen,99_sand
imjun,100_rain
mandep,101_cloud
wam,102_wind
kduɾe,104_thunder
aɾbeweɾ,105_lightning
kɾaf,106_meatflesh
masen,107_salt
mafen,108_fatgrease
bon,109_fruit
sup,110_woodsforest
ɾaɾes,111_root
snawu,112_branch
ɾam,113_leaf
ai,114_wood
abɾis,115_grass
panpen,116_flower
amfuɾ,117_thatchroof
ɾum,118_house
kabɾai,119_rope
soɾem,120_needle
ɲan,121_roadpath
paisem,122_black
ipjopeɾ,123_white
iɾik,124_red
iɾumek,125_green
ɲaɲaɾ,126_yellow
beba,127_big
kasun,128_small
ikaki,129_long
knampu,130_short
ikpoɾ,131_thick
isɾepek,132_thin
ifjos,133_narrow
ɾijowes,134_wide
isaɾ,135_sharp
ipup,136_bluntdull
jamai,137_shyashamed
sinan,138_old
jaduf,139_painfulsick
ipjum,140_good
ɾaɾmomen,141_bad
kaku,142_correcttrue
papos,143_dirty
isnaɾem,144_rotten
kokam,145_all
mjaɾbak,146_heavy
biNɡuan,147_far
fjanam,148_near
sjos,149_warm
ipnunek,150_cold
isjoɾ,151_dry
idok,152_wet
babo,153_new
bese,154_other
jaɾama,155_come
jambɾane,156_walk
isuɾe,157_grow
joɾes,158_stand
jakone,159_sit
daɾpi,160_fall
jawaɾek,161_liedown
pambaɾ,162_turn
pjoi,163_climb
nuɾe,164_swim
iɾob,165_flyverb
sjio,166_throw
jofek,167_hide
mamam,168_chew
janan,169_eat
jinem,170_drink
waɾek,171_bite
sjoseɲ,172_suck
iwasiɾ,173_yawn
jamuɾen,174_spit
mafu,175_dream
jenef,176_sleep
ikenem,177_live
imaɾ,178_die
mijun,179_kill
mame,180_see
jaɾoweɾ,181_hear
janas,182_sniffsmell
jafawi,183_know
swaɾuseɾ,184_think
jambɾif,185_laugh
jakanes,186_cry
iwuf,187_blow
inanem,188_burn
isjap,189_flow
isip,190_sew
kijuk,191_pound
ipɾeɾ,192_hit
iwapuk,193_cut
wiou,194_split
bijai,195_dig
imbɾafe,196_hunt
dufe,197_hold
jamɡake,198_fear
kokoɾ,199_count
jawajoɾem,201_vomit
fes,202_tieup
kjafos,203_squeeze
ibjaɾ,204_swell
jakofen,205_say
isnauw,206_scratch
iwan,207_stab
kjowes,208_buy
kaɾawu,209_steal
ikiNfiɾ,210_choose
kieɾe,211_plant
famfenap,212_cook
pame,213_shoot
faɾaɾuɾ,214_work
bijase,215_open
