ID,phonetic_transcriptions,recording,sound_editing,reconstruction,Language_ID
Abun,Emanuel Tutorop,Jimmi Kirihio,Boas Wabia,,Abun
Ambel,Emanuel Tutorop,Jeanete Lekeneny,Jimmi Kirihio,,Ambel
Ansus,Stevani Karesina,Apriani Arilaha,Jeanete Lekeneny,,Ansus
Biak,Jeanete Lekeneny,Emanuel Tutorop,Jeanete Lekeneny,,Biak
Irires,Jimmi Kirihio,Apriani Arilaha,Boas Wabia,,Irires
Mee,Simon Tabuni,Boas Wabia,Apriani Arilaha,,Mee
Mekwnalca,Simon Tabuni,Jeanete Lekeneny,Emanuel Tutorop,,Mekwnalca
Miyah,Jeanete Lekeneny,Boas Wabia,Apriani Arilaha,,Miyah
Mpur,Yusuf Sawaki,Apriani Arilaha,Yusuf Sawaki,,Mpur
Waropen,Jeanete Lekeneny,Jeanete Lekeneny,Emanuel Tutorop,,Waropen
Wbomberaiiha,Jeanete Lekeneny,Jeanete Lekeneny,Yusuf Sawaki,,Wbomberaiiha
Yapenpoom,Infak Mayor,Apriani Arilaha,Emanuel Tutorop,,Yapenpoom
Yapenwooi,Jimmi Kirihio,Emanuel Tutorop,Jeanete Lekeneny,,Yapenwooi
