ID,Name,objid,size,Form_ID,mimetype
98420d5f64fcf50faa4e0b0ebd1712bb,PpW_Papuan_Abun_Abun_Dl_001_one.mp3,EAEA0-D799-D70F-7D49-0,13714,Abun-1_one-1,audio/mpeg
9a28e68722a2a9029190ad15595d3989,PpW_Papuan_Abun_Abun_Dl_001_one.ogg,EAEA0-D799-D70F-7D49-0,29282,Abun-1_one-1,audio/ogg
5f09e83b2e43ba376565fab4416be35e,PpW_Papuan_Abun_Abun_Dl_001_one.wav,EAEA0-D799-D70F-7D49-0,114148,Abun-1_one-1,audio/wav
a65e972446ea295af77955d4f71a766d,PpW_Papuan_Abun_Abun_Dl_002_two.mp3,EAEA0-6D79-5FD6-30DD-0,14866,Abun-2_two-1,audio/mpeg
614c0902e8f2a71fb29ed563b6238a43,PpW_Papuan_Abun_Abun_Dl_002_two.ogg,EAEA0-6D79-5FD6-30DD-0,30880,Abun-2_two-1,audio/ogg
c5c2bcbe9bacf0e72621b85148f91f97,PpW_Papuan_Abun_Abun_Dl_002_two.wav,EAEA0-6D79-5FD6-30DD-0,124516,Abun-2_two-1,audio/wav
c9882dcf5a07325de1b27626c37abe1a,PpW_Papuan_Abun_Abun_Dl_003_three.mp3,EAEA0-C726-A32F-A499-0,12948,Abun-3_three-1,audio/mpeg
cd0f04ea5be54b4c4b712fcf76742f67,PpW_Papuan_Abun_Abun_Dl_003_three.ogg,EAEA0-C726-A32F-A499-0,28616,Abun-3_three-1,audio/ogg
ccfe8fed60437efd5b7fed1db9c43da3,PpW_Papuan_Abun_Abun_Dl_003_three.wav,EAEA0-C726-A32F-A499-0,106086,Abun-3_three-1,audio/wav
ad98d140041d91508b4ef68841a0f218,PpW_Papuan_Abun_Abun_Dl_004_four.mp3,EAEA0-910A-82DD-7950-0,18323,Abun-4_four-1,audio/mpeg
8ee105e251acb5d0422d84161645766b,PpW_Papuan_Abun_Abun_Dl_004_four.ogg,EAEA0-910A-82DD-7950-0,38497,Abun-4_four-1,audio/ogg
ab6d8913ae6d3373814313674004d848,PpW_Papuan_Abun_Abun_Dl_004_four.wav,EAEA0-910A-82DD-7950-0,152658,Abun-4_four-1,audio/wav
