ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,LongName,IsProto
Abun,Abun,abun1252,Abun,kgr,Papunesia,-0.57,132.42,Isolate,‘Papuan’: Abun,False
Ambel,Ambel,waig1244,Waigeo,wgo,Papunesia,-0.18,130.92,Austronesian,Austronesian: SHWNG: RASH: Ambel / Waigeo,False
Ansus,Ansus,ansu1237,Ansus,and,Papunesia,-1.73,135.81,Austronesian,Austronesian: SHWNG: Cendrawasih Bay: Yapen: Ansus,False
Biak,Biak,biak1248,Biak,bhw,Papunesia,-0.95,135.88,Austronesian,Austronesian: SHWNG: Cendrawasih Bay: Biakic: Biak,False
Irires,Irires,irir1234,Irires,,Papunesia,-0.6051,132.4896,Maybratic,‘Papuan’: Irires,False
Mee,Mee,ekar1243,Ekari,ekg,Papunesia,-3.89,136.02,Nuclear Trans New Guinea,Trans-New Guinea (Nuclear): Paniai Lakes: Ekari: Mee,False
Mekwnalca,Mek W.: Nalca,nalc1240,Nalca,nlc,Papunesia,-4.26,139.88,Nuclear Trans New Guinea,Trans-New Guinea (Nuclear): Mek: Western: Nalca,False
Miyah,Miyah,maiy1240,Miyakh,,Papunesia,-0.76268,132.57953,Maybratic,‘Papuan’: Miyah,False
Mpur,Mpur,mpur1239,Mpur,akc,Papunesia,-0.5,133.17,Isolate,‘Papuan’: Mpur,False
Waropen,Waropen,waro1242,Waropen,wrp,Papunesia,-2.31,136.63,Austronesian,Austronesian: SHWNG: Waropen,False
Wbomberaiiha,W. Bomberai: Iha,ihaa1241,Iha,ihp,Papunesia,-2.81,132.27,West Bomberai,‘Papuan’: West Bomberai: Nuclear: Iha: Bomberai Bay,False
Yapenpoom,Yapen: Poom,pomm1237,Pom,pmo,Papunesia,-1.64,135.62,Austronesian,Austronesian: SHWNG: Cendrawasih Bay: Yapen: Poom,False
Yapenwooi,Yapen: Wooi,woii1237,Woi,wbw,Papunesia,-1.63,135.48,Austronesian,Austronesian: SHWNG: Cendrawasih Bay: Yapen: Wooi,False
