ID,Name,Concepticon_ID,Concepticon_Gloss,Papuan_Malay_Gloss
1_one,one,1493,ONE,satu
2_two,two,1498,TWO,dua
3_three,three,492,THREE,tiga
4_four,four,1500,FOUR,empat
5_five,five,493,FIVE,lima
6_six,six,1703,SIX,enam
7_seven,seven,1704,SEVEN,tujuh
8_eight,eight,1705,EIGHT,delapan
9_nine,nine,1483,NINE,sembilan
10_ten,ten,1515,TEN,sepuluh
11_twenty,twenty,1710,TWENTY,duapuluh
12_fifty,fifty,1717,FIFTY,limapuluh
13_onehundred,one hundred,1634,HUNDRED,seratus
14_onethousand,one thousand,1843,THOUSAND,seribu
15_year,year,1226,YEAR,tahun
16_right,right,1019,RIGHT,kanan
17_left,left,244,LEFT,kiri
18_i,I,1209,I,sa
19_weallexcl,"we  (all, EXcl.)",1130,WE (EXCLUSIVE),kitong
20_webothincl,"we  (both, INcl.)",2637,WE TWO (INCLUSIVE),
21_webothexcl,"we  (both, EXcl.)",2636,WE TWO (EXCLUSIVE),
22_weallincl,"we  (all, INcl.)",1131,WE (INCLUSIVE),kitong
23_thou,thou,1215,THOU,ko
24_youboth,you  (both),2111,YOU TWO,kam
25_youall,you  (all),1213,YOU,kam
26_heshe,he/she,2642,HE OR SHE,de/dia
27_theyall,they  (all),817,THEY,dong
28_theyboth,they  (both),2635,THEY TWO,
29_nonot,"no, not",2279,NO OR NOT,"tidak, bukan"
30_what,what,1236,WHAT,apa
31_who,who,1235,WHO,siapa
32_where,where,1237,WHERE,di mana
33_when,when,1238,WHEN,kapan
34_how,how,1239,HOW,bagaimana
35_this,this,1214,THIS,ini
36_that,that,78,THAT,itu
37_and,and,1577,AND,dan
38_above,above,1741,ABOVE,di atas
39_below,below,1485,BELOW OR UNDER,di bawah
40_ininside,"in, inside",1460,IN,di dalam
41_at,at,1461,AT,di
42_if,if,1459,IF,kalau
43_head,head,1256,HEAD,kepala
44_hair,hair,1040,HAIR,rambut
45_eye,eye,1248,EYE,mata
46_nose,nose,1221,NOSE,hidung
47_ear,ear,1247,EAR,telinga
48_mouth,mouth,674,MOUTH,mulut
49_tongue,tongue,1205,TONGUE,lidah
50_tooth,tooth,1380,TOOTH,gigi
51_hand,hand,1277,HAND,tangan
52_shoulder,shoulder,1482,SHOULDER,bahu
53_neck,neck,1333,NECK,leher
54_back,back,1291,BACK,belakang (badan)
55_leg,leg,2098,FOOT OR LEG,kaki
56_blood,blood,946,BLOOD,darah
57_bone,bone,1394,BONE,tulang
58_skin,skin,763,SKIN,kulit
59_belly,belly,1251,BELLY,perut
60_intestines,intestines,1991,INTESTINES,usus
61_breast,breast,1402,BREAST,"payudara, susu"
62_liver,liver,1224,LIVER,hati
63_dog,dog,2009,DOG,anjing
64_bird,bird,937,BIRD,burung
65_fish,fish,227,FISH,ikan
66_snake,snake,730,SNAKE,ular
67_worm,worm,1219,WORM,cacing
68_louse,louse,1392,LOUSE,kutu
69_rat,rat,1490,RAT,tikus
70_spider,spider,843,SPIDER,laba-laba
71_mosquito,mosquito,1509,MOSQUITO,nyamuk
72_egg,egg,744,EGG,telur
73_tail,tail,1220,TAIL,ekor
74_wing,wing,1257,WING,sayap
75_feather,feather,1201,FEATHER,bulu
76_person,person,683,PERSON,manusia
77_man,man,2106,MALE PERSON,laki-laki
78_woman,woman,2105,FEMALE PERSON,perempuan
79_child,child,2099,CHILD,anak
80_name,name,1405,NAME,nama
81_mother,mother,1216,MOTHER,mama
82_father,father,1217,FATHER,bapa
83_husband,husband,1200,HUSBAND,suami
84_wife,wife,1199,WIFE,istri
85_day,day,1225,DAY (NOT NIGHT),siang
86_night,night,1233,NIGHT,malam
87_moon,moon,1313,MOON,bulan
88_star,star,1430,STAR,bintang
89_sky,sky,1732,SKY,langit
90_water,water,948,WATER,air
91_lake,lake,624,LAKE,danau
92_sea,sea,1474,SEA,laut
93_fire,fire,221,FIRE,api
94_smoke,smoke,778,SMOKE (EXHAUST),asap
95_ash,ash,646,ASH,abu
96_stone,stone,857,STONE,batu
97_earthsoil,"earth, soil",1228,EARTH (SOIL),tanah
98_dust,dust,2,DUST,"debu, abu"
99_sand,sand,671,SAND,pasir
100_rain,rain,658,RAIN (PRECIPITATION),hujan
101_cloud,cloud,1489,CLOUD,awan
102_wind,wind,960,WIND,angin
103_fog,fog,249,FOG,kabut
104_thunder,thunder,1150,THUNDER,guntur
105_lightning,lightning,1654,LIGHTNING,kilat
106_meatflesh,"meat, flesh",2615,FLESH OR MEAT,daging
107_salt,salt,1274,SALT,garam
108_fatgrease,"fat, grease",323,FAT (ORGANIC SUBSTANCE),lemak
109_fruit,fruit,1507,FRUIT,buah
110_woodsforest,"woods, forest",420,FOREST,daging
111_root,root,670,ROOT,akar
112_branch,branch,1531,BRANCH,cabang
113_leaf,leaf,628,LEAF,daun
114_wood,wood,1295,STICK,kayu
115_grass,grass,606,GRASS,rumput
116_flower,flower,239,FLOWER,bunga
117_thatchroof,"thatch, roof",2100,THATCH OR ROOF,atap
118_house,house,1252,HOUSE,rumah
119_rope,rope,1218,ROPE,tali
120_needle,needle,1382,NEEDLE (FOR SEWING),jarum
121_roadpath,"road, path",2457,PATH OR ROAD,jalan
122_black,black,163,BLACK,hitam
123_white,white,1335,WHITE,putih
124_red,red,156,RED,merah
125_green,green,1425,GREEN,hijau
126_yellow,yellow,1424,YELLOW,kuning
127_big,big,1202,BIG,besar
128_small,small,1246,SMALL,kecil
129_long,long,1203,LONG,panjang
130_short,short,1645,SHORT,pendek
131_thick,thick,1244,THICK,tebal
132_thin,thin,2308,THIN,tipis
133_narrow,narrow,1267,NARROW,sempit
134_wide,wide,1243,WIDE,luas
135_sharp,sharp,1396,SHARP,tajam
136_bluntdull,"blunt, dull",379,BLUNT,tumpul
137_shyashamed,"shy, ashamed",487,SHY,malu
138_old,old,1229,OLD,tua
139_painfulsick,"painful, sick",2103,PAINFUL OR SICK,sakit
140_good,good,1035,GOOD,baik
141_bad,bad,1292,BAD,jahat
142_correcttrue,"correct, true",1725,CORRECT (RIGHT),benar
143_dirty,dirty,1230,DIRTY,kotor
144_rotten,rotten,1728,ROTTEN,busuk
145_all,all,98,ALL,semua
146_heavy,heavy,1210,HEAVY,berat
147_far,far,1406,FAR,jauh
148_near,near,1942,NEAR,dekat
149_warm,warm,1232,WARM,hangat
150_cold,cold,1287,COLD,dingin
151_dry,dry,1398,DRY,kering
152_wet,wet,1726,WET,basah
153_new,new,1231,NEW,baru
154_other,other,197,OTHER,lain
155_come,come,1446,COME,datang
156_walk,walk,1443,WALK,berjalan
157_grow,grow,479,GROW,tumbuh
158_stand,stand,1442,STAND,berdiri
159_sit,sit,1416,SIT,duduk
160_fall,fall,1280,FALL,jatuh
161_liedown,lie down,215,LIE DOWN,baring
162_turn,turn,1588,TURN,"belok, balik"
163_climb,climb,1102,CLIMB,panjat
164_swim,swim,1439,SWIM,berenang
165_flyverb,fly (verb),1441,FLY (MOVE THROUGH AIR),terbang
166_throw,throw,1456,THROW,lempar
167_hide,hide,602,HIDE (CONCEAL),sembunyi
168_chew,chew,321,CHEW,mengunyah
169_eat,eat,1336,EAT,makan
170_drink,drink,1401,DRINK,minum
171_bite,bite,1403,BITE,gigit
172_suck,suck,1421,SUCK,isap
173_yawn,yawn,1028,YAWN,menguap
174_spit,spit,1440,SPIT,meludah
175_dream,dream,1920,DREAM (SOMETHING),mimpi
176_sleep,sleep,1585,SLEEP,tidur
177_live,live,1422,BE ALIVE,hidup
178_die,die,2101,BE DEAD OR DIE,meninggal
179_kill,kill,1417,KILL,bunuh
180_see,see,1409,SEE,lihat
181_hear,hear,1408,HEAR,dengar
182_sniffsmell,"sniff, smell",1586,SMELL (PERCEIVE),mencium
183_know,know,1410,KNOW (SOMETHING),"tahu, mengerti"
184_think,think,2271,THINK,pikir
185_laugh,laugh,1355,LAUGH,tertawa
186_cry,cry,1839,CRY,menangis
187_blow,blow,175,BLOW (OF WIND),tiup
188_burn,burn,2102,BURN,bakar
189_flow,flow,2003,FLOW,mengalir
190_sew,sew,1457,SEW,jahit
191_pound,pound,354,POUND,tumbuk
192_hit,hit,1433,HIT,pukul
193_cut,cut,1432,CUT,potong
194_split,split,1437,SPLIT,bagi ... membagi 
195_dig,dig,1418,DIG,gali
196_hunt,hunt,1435,HUNT,berburu
197_hold,hold,1448,HOLD,pegang
198_fear,fear,1419,FEAR (BE AFRAID),takut
199_count,count,1420,COUNT,hitung
200_breathe,breathe,1407,BREATHE,bernafas
201_vomit,vomit,1278,VOMIT,muntah
202_tieup,tie (up),1094,FASTEN,ikat
