ID,Name,Concepticon_ID,Concepticon_Gloss,Papuan_Malay_Gloss
203_squeeze,squeeze,1414,SQUEEZE,"peras, ramas"
204_swell,swell,1573,SWELL,bengkak
205_say,say,1458,SAY,bilang
206_scratch,scratch,1436,SCRATCH,garuk
207_stab,stab,1434,STAB,tikam
208_buy,buy,1869,BUY,beli
209_steal,steal,713,STEAL,curi
210_choose,choose,1750,CHOOSE,pilih
211_plant,plant,1486,PLANT (SOMETHING),tanam
212_cook,cook,1100,COOK (SOMETHING),masak
213_shoot,shoot,1172,SHOOT,tembak
214_work,work,1086,WORK (ACTIVITY),kerja
215_open,open,1156,OPEN,tumbuk
