Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	waɽimakai, oɽaikamutoʀati	Mee	100	U+0061
i	i	eiliwik, sikda	Mee, Mekwnalca	100	U+0069
ɾ	ɾ	kɾi, heɾɛɾɛ	Wbomberaiiha, Mekwnalca, Abun, Mee, Mpur	100	U+027e
n	n	oɡunda, senina	Mekwnalca, Mee	100	U+006e
u	u	oɡunda, buɡum	Abun, Mekwnalca, Mee	100	U+0075
a$	a	sikda, oɡunda	Mekwnalca, Mee	100	U+0061 U+0024
ɛ	ɛ	kɛmɛŋkɛmɛŋ, pɛhɛɾkɛih	Wbomberaiiha, Abun	100	U+025b
ɔ	ɔ	tɔmɔntɔmɔɲa, kɔŋbɔt	Wbomberaiiha, Mekwnalca, Mee	100	U+0254
m	m	jamememeː, jame	Mekwnalca, Mee	100	U+006d
i$	i	si, kɾi	Mee, Abun, Mekwnalca, Wbomberaiiha, Mpur	100	U+0069 U+0024
e	e	maekaepejo, keɾepa	Mekwnalca, Mee	100	U+0065
^m	m	man, mɛn	Abun, Wbomberaiiha, Mekwnalca, Mpur, Mee	100	U+005e U+006d
o	o	doɡoɾop, hoŋ	Mekwnalca, Mee, Abun, Wbomberaiiha	100	U+006f
^k	k	kɾi, kuɾ	Wbomberaiiha, Mee, Mekwnalca, Abun, Mpur	100	U+005e U+006b
t	t	eta, kantatɛn	Mee, Wbomberaiiha, Miyah, Mpur, Abun	100	U+0074
k	k	sikda, mɛnkawɛ	Mee, Mekwnalca, Wbomberaiiha, Mpur, Abun	100	U+006b
^a	a	ai, am	Irires, Miyah, Mee, Abun, Mekwnalca, Mpur, Ambel, Wbomberaiiha	100	U+005e U+0061
u$	u	su, sju	Abun, Mpur, Miyah, Irires, Ambel, Mee, Mekwnalca	100	U+0075 U+0024
n$	n	man, mɛn	Mpur, Wbomberaiiha, Abun, Mekwnalca, Miyah	100	U+006e U+0024
w	w	mɛnkawɛ, mɔwakʰ	Miyah, Mee, Irires, Mpur, Ambel, Abun, Wbomberaiiha, Yapenwooi, Mekwnalca	100	U+0077
d	d	sikda, oɡunda	Mee, Mekwnalca, Wbomberaiiha, Abun, Miyah, Mpur	100	U+0064
j	j	sju, ija	Mee, Miyah, Mekwnalca, Abun, Wbomberaiiha, Ambel, Mpur, Irires	100	U+006a
p	p	pupu, papɛt	Miyah, Wbomberaiiha, Ambel, Mee, Yapenwooi, Mekwnalca, Mpur, Irires, Abun	100	U+0070
^d	d	dɛ, da	Irires, Abun, Mee, Mekwnalca, Mpur, Wbomberaiiha, Miyah	100	U+005e U+0064
^p	p	pɛɾ, pɔh	Miyah, Wbomberaiiha, Mee, Mpur, Abun, Mekwnalca	100	U+005e U+0070
^n	n	non, nan	Abun, Wbomberaiiha, Mpur, Mekwnalca, Ambel, Miyah, Mee, Yapenwooi	100	U+005e U+006e
ɔ$	ɔ	akɔwɔɾfɔ, mɔ	Waropen, Abun, Miyah, Wbomberaiiha, Ambel, Ansus, Mpur, Irires, Mee	100	U+0254 U+0024
b	b	daba, kasobabat	Ambel, Mee, Mekwnalca, Mpur, Yapenwooi, Abun, Wbomberaiiha, Miyah, Irires, Ansus	100	U+0062
^w	w	wɔt, wɔɾ	Mee, Wbomberaiiha, Mekwnalca, Mpur, Yapenwooi, Ambel, Ansus, Abun, Miyah	100	U+005e U+0077
