1-0	_001_one
2-0	_002_two
3-0	_003_three
4-0	_004_four
5-0	_005_five
6-0	_006_six
7-0	_007_seven
8-0	_008_eight
9-0	_009_nine
10-0	_010_ten
11-0	_011_twenty
15-0	_015_fifty
20-0	_020_one_hundred
21-0	_021_one_thousand
51-0	_051_year
81-0	_081_right
82-0	_082_left
101-0	_101_I
102-0	_102_we_pl_excl
102-1	_102_we_dual_incl
102-2	_102_we_dual_excl
102-3	_102_we_incl
104-0	_104_you
105-0	_105_you_dual
105-2	_105_you_pl
106-0	_106_he
107-0	_107_they
107-2	_107_they_dual
112-0	_112_no
121-0	_121_what
122-0	_122_who
123-0	_123_where
124-0	_124_when
125-0	_125_how
131-0	_131_this
132-0	_132_that
134-0	_134_and
138-0	_138_above
139-0	_139_below
141-0	_141_in
148-0	_148_at
171-0	_171_if
201-0	_201_head
205-0	_205_hair
211-0	_211_eye
212-0	_212_nose
213-0	_213_ear
221-0	_221_mouth
223-0	_223_tongue
224-0	_224_tooth
231-0	_231_hand
233-0	_233_shoulder
241-0	_241_neck
242-0	_242_back
252-0	_252_leg
261-0	_261_blood
262-0	_262_bone
263-0	_263_skin
271-0	_271_belly
272-0	_272_intestines
274-0	_274_breast
284-0	_284_liver
312-0	_312_dog
321-0	_321_bird
324-0	_324_fish
341-0	_341_snake
342-0	_342_worm
343-0	_343_louse
345-0	_345_rat
349-0	_349_spider
352-0	_352_mosquito
381-0	_381_egg
383-0	_383_tail
384-0	_384_wing
385-0	_385_feather
401-0	_401_person
402-0	_402_man
403-0	_403_woman
405-0	_405_child
410-0	_410_name
431-0	_431_mother
432-0	_432_father
435-0	_435_husband
436-0	_436_wife
501-0	_501_day
502-0	_502_night
512-0	_512_moon
513-0	_513_star
515-0	_515_sky
521-0	_521_water
523-0	_523_lake
524-0	_524_sea
541-0	_541_fire
542-0	_542_smoke
543-0	_543_ash
551-0	_551_stone
552-0	_552_earth
553-0	_553_dust
554-0	_554_sand
581-0	_581_rain
584-0	_584_cloud
585-0	_585_wind
586-0	_586_fog
592-0	_592_thunder
593-0	_593_lightning
603-0	_603_meat
604-0	_604_salt
606-0	_606_fat
609-0	_609_fruit
622-0	_622_woods
624-0	_624_root
625-0	_625_branch
626-0	_626_leaf
628-0	_628_wood
631-0	_631_grass
632-0	_632_flower
633-0	_633_thatch
651-0	_651_house
662-0	_662_rope
663-0	_663_needle
681-0	_681_road
701-0	_701_black
702-0	_702_white
703-0	_703_red
704-0	_704_green
705-0	_705_yellow
711-0	_711_big
717-0	_717_small
721-0	_721_long
722-0	_722_short
735-0	_735_thick
736-0	_736_thin
737-0	_737_narrow
738-0	_738_wide
741-0	_741_sharp
742-0	_742_blunt
749-0	_749_shy
752-0	_752_old
763-0	_763_painful
771-0	_771_good
772-0	_772_bad
773-0	_773_correct
777-0	_777_dirty
780-0	_780_rotten
782-0	_782_all
786-0	_786_heavy
788-0	_788_far
789-0	_789_near
791-0	_791_warm
792-0	_792_cold
793-0	_793_dry
794-0	_794_wet
798-0	_798_new
799-0	_799_other
802-0	_802_come
803-0	_803_walk
809-0	_809_grow
811-0	_811_stand
812-0	_812_sit
813-0	_813_fall
814-0	_814_lie_down
815-0	_815_turn
818-0	_818_climb
821-0	_821_swim
822-0	_822_fly_verb
826-0	_826_throw
827-0	_827_hide
829-0	_829_chew
831-0	_831_eat
832-0	_832_drink
833-0	_833_bite
834-0	_834_suck
836-0	_836_yawn
837-0	_837_spit
840-0	_840_dream
841-0	_841_sleep
842-0	_842_live
843-0	_843_die
844-0	_844_kill
851-0	_851_see
852-0	_852_hear
854-0	_854_sniff
855-0	_855_know
856-0	_856_think
858-0	_858_laugh
859-0	_859_cry
867-0	_867_blow
868-0	_868_burn
869-0	_869_flow
874-0	_874_sew
880-0	_880_pound
881-0	_881_hit
887-0	_887_cut
888-0	_888_split
889-0	_889_dig
892-0	_892_hunt
893-0	_893_hold
895-0	_895_fear
896-0	_896_count
897-0	_897_breathe
900-0	_900_vomit
901-0	_901_tie
902-0	_902_squeeze
903-0	_903_swell
904-0	_904_say
905-0	_905_scratch
906-0	_906_stab
912-0	_912_buy
913-0	_913_steal
915-0	_915_choose
918-0	_918_plant
922-0	_922_cook
940-0	_940_shoot
950-0	_950_work
962-0	_962_open
