Abun	PpW_Papuan_Abun_Abun_Dl
Ambel	PpW_Austr_SHWNG_RASH_AmbelBiga_Waigeo_Ambel_Dl
Ansus	PpW_Austr_SHWNG_CendBay_Yapen_CtlW_Ansus_Dl
Biak	PpW_Austr_SHWNG_CendBay_Biakic_BiakRoon_Biak_Dl
Irires	PpW_Papuan_Irires_Irires_Dl
Mee	PpW_TNG_Paniai_Ekari_Mee_Mee_Dl
Mekwnalca	PpW_TNG_Mek_West_Nalca_Nalca_Dl
Miyah	PpW_Papuan_Miyah_Miyah_Dl
Mpur	PpW_Papuan_Mpur_Mpur_Dl
Waropen	PpW_Austr_SHWNG_Waropen_Waropen_Dl
Wbomberaiiha	PpW_Papuan_BomberaiWest_Nuclear_Iha_Dl
Yapenpoom	PpW_Austr_SHWNG_CendBay_Yapen_East_Poom_Dl
Yapenwooi	PpW_Austr_SHWNG_CendBay_Yapen_CtlW_Wooi_Dl
