Yapenpoom,English Translation
koɾisi,1_one
koiɾu,2_two
toɾu,3_three
at,4_four
ɾin,5_five
wonaŋ,6_six
itu,7_seven
waɾu,8_eight
siu,9_nine
hauɾa,10_ten
piaɾehi,11_twenty
piakoiɾuhehakoɾisi,12_fifty
piaɾin,13_onehundred
piaɾinβehauɾa,14_onethousand
pjuɾiha,15_year
dioβataŋ,16_right
mambaɾasaɾ,17_left
jau,18_i
antoɾu,19_weallexcl
tuɾu,20_webothincl
uɾu,21_webothexcl
tatoɾu,22_weallincl
au,23_thou
muɾu,24_youboth
mintoɾu,25_youall
imawan,26_heshe
tioɾu,27_theyall
hⁿuɾu,28_theyboth
pieβa,29_nonot
tohantena,30_what
teidina,31_who
ɾonije,32_where
hapaniena,33_when
topeno,34_how
ɾani,35_this
ɾaβau,36_that
tiaɾ,37_and
ɾoβaβo,38_above
ɾowou,39_below
ɾoɾaɾo,40_ininside
ɾo,41_at
namuɾa,42_if
ɾihina,43_head
junandao,44_hair
ɾemo,45_eye
hokama,46_nose
taɾadio,47_ear
hⁿuapan,48_mouth
hⁿuatande,49_tongue
die,50_tooth
βaɾa,51_hand
nadiaɾa,52_shoulder
ɾaukaɾo,53_neck
kaɾupui,54_back
aiɾe,55_leg
maɾou,56_blood
nehina,57_bone
ɾeɾawa,58_skin
hanewai,59_belly
hane,60_intestines
hⁿuhⁿu,61_breast
nateni,62_liver
wona,63_dog
andoβa,64_bird
dian,65_fish
tawai,66_snake
kahioɾi,67_worm
utu,68_louse
kapa,69_rat
iŋkiɾa,70_spider
hⁿiɲeɾi,71_mosquito
nebo,72_egg
kapu,73_tail
βaɾapema,74_wing
netuin,75_feather
hinontaɾai,76_person
mawan,77_man
waβin,78_woman
ɾomawa,79_child
hano,80_name
awin,81_mother
jai,82_father
hawamawan,83_husband
hawawaβin,84_wife
hⁿahaɾ,85_day
ɾoβi,86_night
hembai,87_moon
pioɾi,88_star
ɾoɾa,89_sky
dia,90_water
kaɾihⁿijaɾi,91_lake
βondau,92_sea
aɾuntan,93_fire
ujouw,94_smoke
waβu,95_ash
kami,96_stone
kakopa,97_earthsoil
papau,98_dust
ɾobujan,99_sand
mijuna,100_rain
mandep,101_cloud
wana,102_wind
papau,103_fog
kadidiu,104_thunder
βiβiheɾia,105_lightning
taɾai,106_meatflesh
hⁿahⁿi,107_salt
main,108_fatgrease
boŋ,109_fruit
nuɾaɾo,110_woodsforest
wawaɾi,111_root
aha,112_branch
ɾaun,113_leaf
ai,114_wood
nanimpu,115_grass
puɾ,116_flower
nandauŋ,117_thatchroof
jaβa,118_house
haɾoɾa,119_rope
mandi,120_needle
ɾajan,121_roadpath
metan,122_black
wuha,123_white
maɾou,124_red
makajandijau,125_green
kaɾawi,126_yellow
βaβa,127_big
haho,128_small
oɾoi,129_long
tana,130_short
tapapei,131_thick
manani,132_thin
hⁿijaɾ,133_narrow
ɾeɾaha,134_wide
masain,135_sharp
kabun,136_bluntdull
mamaja,137_shyashamed
sinan,138_old
hⁿuhⁿi,139_painfulsick
hanai,140_good
hanaiβa,141_bad
taɾai,142_correcttrue
kaɾiha,143_dirty
kaŋkoŋ,144_rotten
kuiɾa,145_all
mambat,146_heavy
oɾoi,147_far
kikijeu,148_near
numas,149_warm
βijeha,150_cold
hinaja,151_dry
hapapu,152_wet
βaβoɾu,153_new
ehe,154_other
ɾama,155_come
tataɾa,156_walk
tipu,157_grow
oha,158_stand
mahoi,159_sit
hⁿu,160_fall
βaβata,161_liedown
hoɾbeɾa,162_turn
auta,163_climb
hau,164_swim
ɾoβa,165_flyverb
ho,166_throw
aniwa,167_hide
mama,168_chew
ampi,169_eat
unun,170_drink
ajat,171_bite
hⁿupa,172_suck
mima,173_yawn
kanihⁿu,174_spit
mi,175_dream
ena,176_sleep
wihjen,177_live
kaɾia,178_die
mun,179_kill
ɾeho,180_see
taɾaho,181_hear
hoho,182_sniffsmell
hiwijai,183_know
hanetatoa,184_think
maɾi,185_laugh
woɾi,186_cry
taβun,187_blow
kaif,188_burn
haɾop,189_flow
awaɾ,190_sew
buɾ,191_pound
ɾepa,192_hit
peɾaŋ,193_cut
wop,194_split
βai,195_dig
mumpi,196_hunt
akaho,197_hold
matai,198_fear
atoɾ,199_count
hasen,200_breathe
mamuta,201_vomit
awit,202_tieup
tabaɾ,203_squeeze
babaɾa,204_swell
pajaja,205_say
aɾaɾ,206_scratch
ihan,207_stab
aβajan,208_buy
manana,209_steal
iɾija,210_choose
tanan,211_plant
pananap,212_cook
paɾe,213_shoot
paɾuɾa,214_work
hep,215_open
