Abun,English Translation
dik,1_one
wɛ,2_two
ɡɾi,3_three
at,4_four
mɛk,5_five
mat,6_six
fit,7_seven
ɡuɔ,8_eight
misji,9_nine
musju,10_ten
musjuwɛ,11_twenty
musjumɛk,12_fifty
utindik,13_onehundred
utindik wɛ,14_onethousand
ɡɛ,16_right
ʤam,17_left
tat,18_i
mɛn,19_weallexcl
mɛnkawɛ,20_webothincl
mɛnkawɛ,21_webothexcl
mɛn,22_weallincl
nan,23_thou
ninkawɛ,24_youboth
nin,25_youall
an,26_heshe
ninsinɔo,27_theyall
ankawɛ,28_theyboth
ndɛɾɛ,29_nonot
suma,30_what
ʤɛtoɔ,31_who
moɔtɔ,32_where
kamut,33_when
tɔkoɔ,34_how
nɛɾɛ,35_this
nɛtɔ,36_that
si,37_and
mɔnim,38_above
mɔbuɾ,39_below
mɔmit,40_ininside
mɔ,41_at
tiɡɛnɛ,42_if
su,43_head
ɡo,44_hair
ɡɾɔ,45_eye
ɡuɛm,46_nose
dɛbɛ,47_ear
sukwɛt,48_mouth
bɾip,49_tongue
sjɔs,50_tooth
sim,51_hand
ɳɡɛm,52_shoulder
sdɛm,53_neck
daɾi,54_back
ɡues,55_leg
dɛ,56_blood
dini,57_bone
da,58_skin
om,59_belly
onɛɾ,60_intestines
sus,61_breast
ku,62_liver
ndaɾ,63_dog
amɡan,64_bird
buɡɛ,65_fish
kuwis,66_snake
sumbaɾ,67_worm
im,68_louse
mɡou,69_rat
jamsiʤaɾ,70_spider
suŋɡu,71_mosquito
bɛm,72_egg
ɲɔ,73_tail
i,74_wing
ɡɔ,75_feather
ʤɛtu,76_person
ibɾis,77_man
mɡɔn,78_woman
pa,79_child
ɡum,80_name
ami,81_mother
ai,82_father
ja,83_husband
mɡoɔn,84_wife
kan,85_day
nɔɾu,86_night
aina,87_moon
bi,88_star
ɡuda,89_sky
sjuɾ,90_water
ɛm,91_lake
ɾut,92_sea
bɔot,93_fire
bu,94_smoke
bɔtbɾɔ,95_ash
ʤok,96_stone
buɾ,97_earthsoil
ʤɛnbu,98_dust
ʤɛn,99_sand
nuɡi,100_rain
ainatɛm,101_cloud
nufuf,102_wind
duk,103_fog
ɡupu,104_thunder
nuaɾ,105_lightning
sjuɡɛ,106_meatflesh
bak,107_salt
sjɔ,108_fatgrease
bo,109_fruit
ndɛn,110_woodsforest
bɾɔot,111_root
kwa,112_branch
nat,113_leaf
kuɛ,114_wood
ɛs,115_grass
u,116_flower
wan,117_thatchroof
nu,118_house
ʤamtu,119_rope
dɛ,120_needle
os,121_roadpath
tɛ,122_black
kuɔ,123_white
ɛɾ,124_red
kuɾ,125_green
kɾi,126_yellow
sjɛ,127_big
ɔɡan,128_small
sju,129_long
ɡɔon,130_short
nit,131_thick
kɛdɛ,132_thin
mɡot,133_narrow
ɾɛ,134_wide
ɔt,135_sharp
sju,136_bluntdull
mɛn,137_shyashamed
din,138_old
i,139_painfulsick
ndo,140_good
ɛmsɛ,141_bad
saŋɡɛ,142_correcttrue
ʤibit,143_dirty
kwik,144_rotten
sinɔ,145_all
dɛ,146_heavy
sju,147_far
kaɾɔ,148_near
kambɔ,149_warm
kɛdɛk,150_cold
sa,151_dry
siɾ,152_wet
bɛ,153_new
dɔ,154_other
ma,155_come
mu,156_walk
kɔm,157_grow
ti,158_stand
kɛm,159_sit
ɡɛs,160_fall
ɾɔndɾan,161_liedown
bɾɛk,162_turn
it,163_climb
dɛ,164_swim
ɔk,165_flyverb
am,166_throw
bɛt,167_hide
dat,168_chew
ɡit,169_eat
da,170_drink
ɔt,171_bite
ɔm,172_suck
nanbawik,173_yawn
sukut,174_spit
sunda,175_dream
sɛm,176_sleep
mbau,177_live
daɾɛ,178_die
ɡu,179_kill
mɛ,180_see
ʤam,181_hear
ni,182_sniffsmell
ʤam,183_know
jɛmɲot,184_think
sa,185_laugh
wɔ,186_cry
fuf,187_blow
kuwas,188_burn
mu,189_flow
bit,190_sew
tut,191_pound
ɡu,192_hit
sap,193_cut
pɛtwɛ,194_split
ɾɔm,195_dig
sɔk,196_hunt
but,197_hold
ɲu,198_fear
nɛ,199_count
tikmas,200_breathe
ɡwi,201_vomit
ɾai,202_tieup
jɛmuk,203_squeeze
ɡun,204_swell
du,205_say
bɾo,206_scratch
ɡat,207_stab
sɔ,208_buy
sumsi,209_steal
sɔi,210_choose
ʤan,211_plant
kɔn,212_cook
pɛt,213_shoot
bɛnsu,214_work
ɡak,215_open
